#Material: DUPLEX 
#Force:	 Phase:	  hkl:	 phi:	psi:	strain:	   strain error:	stress:	    stress error:
 5.0      Fe_BCC   1 1 0  180      0      0.0011450  0.0000892        176838826    9431404
 5.0      Fe_BCC   1 1 0  180     15      0.0009962  0.0002056        176838826    9431404
 5.0      Fe_BCC   1 1 0  180     30      0.0006225  0.0000630        176838826    9431404
 5.0      Fe_BCC   1 1 0  180     45      0.0003240  0.0000379        176838826    9431404
 5.0      Fe_BCC   1 1 0  180     60      0.0001060  0.0000549        176838826    9431404
 5.0      Fe_BCC   1 1 0  180     75     -0.0002621  0.0001565        176838826    9431404
 5.0      Fe_BCC   1 1 0  180     90     -0.0003900  0.0002243        176838826    9431404
 5.0      Fe_BCC   2 0 0  180      0      0.0012156  0.0001493        176838826    9431404
 5.0      Fe_BCC   2 0 0  180     15      0.0012588  0.0003765        176838826    9431404
 5.0      Fe_BCC   2 0 0  180     30      0.0003975  0.0007577        176838826    9431404
 5.0      Fe_BCC   2 0 0  180     75     -0.0003072  0.0002703        176838826    9431404
 5.0      Fe_BCC   2 0 0  180     90     -0.0003798  0.0001651        176838826    9431404
 5.0      Fe_BCC   2 1 1  180     15      0.0007369  0.0005161        176838826    9431404
 5.0      Fe_BCC   2 1 1  180     30      0.0008052  0.0001255        176838826    9431404
 5.0      Fe_BCC   2 1 1  180     45      0.0003579  0.0002324        176838826    9431404
 5.0      Fe_BCC   2 1 1  180     60      0.0000385  0.0001027        176838826    9431404
 5.0      Fe_BCC   2 1 1  180     75     -0.0002229  0.0001218        176838826    9431404
 5.0      Fe_BCC   2 1 1  180     90     -0.0002329  0.0001153        176838826    9431404
 5.0      Fe_BCC   2 2 0  180      0      0.0014349  0.0002710        176838826    9431404
 5.0      Fe_BCC   2 2 0  180     15      0.0007207  0.0009506        176838826    9431404
 5.0      Fe_BCC   2 2 0  180     30      0.0009643  0.0003010        176838826    9431404
 5.0      Fe_BCC   2 2 0  180     45      0.0005485  0.0001674        176838826    9431404
 5.0      Fe_BCC   2 2 0  180     60     -0.0000564  0.0002511        176838826    9431404
 5.0      Fe_BCC   2 2 0  180     75     -0.0003692  0.0008022        176838826    9431404
 5.0      Fe_BCC   3 1 0  180      0      0.0004299  0.0003731        176838826    9431404
 5.0      Fe_BCC   3 1 0  180     15      0.0011792  0.0002109        176838826    9431404
 5.0      Fe_BCC   3 1 0  180     30      0.0013450  0.0005357        176838826    9431404
 5.0      Fe_BCC   3 1 0  180     45      0.0006079  0.0007725        176838826    9431404
 5.0      Fe_BCC   3 1 0  180     60     -0.0000294  0.0005323        176838826    9431404
 5.0      Fe_BCC   3 1 0  180     75     -0.0003103  0.0002362        176838826    9431404
 5.0      Fe_BCC   3 1 0  180     90     -0.0003656  0.0001967        176838826    9431404
 5.0      Fe_BCC   3 2 1  180     30      0.0010225  0.0007707        176838826    9431404
 5.0      Fe_BCC   3 2 1  180     45     -0.0000190  0.0005349        176838826    9431404
 5.0      Fe_BCC   3 2 1  180     60      0.0007902  0.0005433        176838826    9431404
 5.0      Fe_BCC   3 2 1  180     75     -0.0007895  0.0008247        176838826    9431404
10.0      Fe_BCC   1 1 0  180      0      0.0022176  0.0000939        353677651   18862808
10.0      Fe_BCC   1 1 0  180     15      0.0018288  0.0002172        353677651   18862808
10.0      Fe_BCC   1 1 0  180     30      0.0013103  0.0000646        353677651   18862808
10.0      Fe_BCC   1 1 0  180     45      0.0007255  0.0000382        353677651   18862808
10.0      Fe_BCC   1 1 0  180     60      0.0000825  0.0000567        353677651   18862808
10.0      Fe_BCC   1 1 0  180     75     -0.0004240  0.0001641        353677651   18862808
10.0      Fe_BCC   1 1 0  180     90     -0.0006259  0.0002166        353677651   18862808
10.0      Fe_BCC   2 0 0  180      0      0.0022901  0.0001436        353677651   18862808
10.0      Fe_BCC   2 0 0  180     15      0.0021800  0.0004226        353677651   18862808
10.0      Fe_BCC   2 0 0  180     30      0.0020073  0.0006450        353677651   18862808
10.0      Fe_BCC   2 0 0  180     75     -0.0005721  0.0002760        353677651   18862808
10.0      Fe_BCC   2 0 0  180     90     -0.0009605  0.0001680        353677651   18862808
10.0      Fe_BCC   2 1 1  180     15      0.0019361  0.0004493        353677651   18862808
10.0      Fe_BCC   2 1 1  180     30      0.0014626  0.0001241        353677651   18862808
10.0      Fe_BCC   2 1 1  180     45      0.0003563  0.0002332        353677651   18862808
10.0      Fe_BCC   2 1 1  180     60     -0.0000015  0.0001031        353677651   18862808
10.0      Fe_BCC   2 1 1  180     75     -0.0003853  0.0001239        353677651   18862808
10.0      Fe_BCC   2 1 1  180     90     -0.0005686  0.0001131        353677651   18862808
10.0      Fe_BCC   2 2 0  180      0      0.0022208  0.0002578        353677651   18862808
10.0      Fe_BCC   2 2 0  180     15      0.0021789  0.0008941        353677651   18862808
10.0      Fe_BCC   2 2 0  180     30      0.0015594  0.0003005        353677651   18862808
10.0      Fe_BCC   2 2 0  180     45      0.0006902  0.0001623        353677651   18862808
10.0      Fe_BCC   2 2 0  180     60     -0.0001518  0.0002584        353677651   18862808
10.0      Fe_BCC   2 2 0  180     75     -0.0003187  0.0007497        353677651   18862808
10.0      Fe_BCC   3 1 0  180      0      0.0025953  0.0003314        353677651   18862808
10.0      Fe_BCC   3 1 0  180     15      0.0021089  0.0002007        353677651   18862808
10.0      Fe_BCC   3 1 0  180     30      0.0017696  0.0005984        353677651   18862808
10.0      Fe_BCC   3 1 0  180     45      0.0008878  0.0007542        353677651   18862808
10.0      Fe_BCC   3 1 0  180     60     -0.0001040  0.0005683        353677651   18862808
10.0      Fe_BCC   3 1 0  180     75     -0.0005409  0.0002399        353677651   18862808
10.0      Fe_BCC   3 1 0  180     90     -0.0008042  0.0001930        353677651   18862808
10.0      Fe_BCC   3 2 1  180     30      0.0014994  0.0006380        353677651   18862808
10.0      Fe_BCC   3 2 1  180     45      0.0006489  0.0004979        353677651   18862808
10.0      Fe_BCC   3 2 1  180     60      0.0008005  0.0004588        353677651   18862808
10.0      Fe_BCC   3 2 1  180     75     -0.0004445  0.0008065        353677651   18862808
 5.0      Fe_FCC   1 1 1  180      0      0.0010607  0.0001408        176838826    9431404
 5.0      Fe_FCC   1 1 1  180     15      0.0007524  0.0003602        176838826    9431404
 5.0      Fe_FCC   1 1 1  180     45      0.0003760  0.0001696        176838826    9431404
 5.0      Fe_FCC   1 1 1  180     60      0.0001138  0.0001081        176838826    9431404
 5.0      Fe_FCC   1 1 1  180     75     -0.0003766  0.0004205        176838826    9431404
 5.0      Fe_FCC   2 0 0  180      0      0.0012447  0.0001222        176838826    9431404
 5.0      Fe_FCC   2 0 0  180     60      0.0003248  0.0005569        176838826    9431404
 5.0      Fe_FCC   2 0 0  180     75      0.0005583  0.0009918        176838826    9431404
 5.0      Fe_FCC   2 0 0  180     90     -0.0005899  0.0003439        176838826    9431404
 5.0      Fe_FCC   2 2 0  180     30      0.0006782  0.0004876        176838826    9431404
 5.0      Fe_FCC   2 2 0  180     45      0.0002852  0.0003062        176838826    9431404
 5.0      Fe_FCC   2 2 0  180     75     -0.0000497  0.0004799        176838826    9431404
 5.0      Fe_FCC   2 2 0  180     90     -0.0003364  0.0001251        176838826    9431404
 5.0      Fe_FCC   2 2 2  180      0      0.0008058  0.0003355        176838826    9431404
 5.0      Fe_FCC   2 2 2  180     45      0.0002559  0.0005754        176838826    9431404
 5.0      Fe_FCC   2 2 2  180     60      0.0003548  0.0003928        176838826    9431404
 5.0      Fe_FCC   3 1 1  180      0      0.0010015  0.0006189        176838826    9431404
