#Material: ST37 
#Force:	 Phase:	  hkl:	 phi:	psi:	strain:	   strain error:	stress:	    stress error:
  4      Fe_BCC   1 1 0   0      0      0.0006449  0.0000928        141471061    7545123
  4      Fe_BCC   1 1 0   0     15      0.0005441  0.0001071        141471061    7545123
  4      Fe_BCC   1 1 0   0     30      0.0001842  0.0001329        141471061    7545123
  4      Fe_BCC   1 1 0   0     45      0.0001559  0.0001228        141471061    7545123
  4      Fe_BCC   1 1 0   0     60     -0.0002749  0.0000891        141471061    7545123
  4      Fe_BCC   1 1 0   0     75     -0.0002168  0.0001012        141471061    7545123
  4      Fe_BCC   1 1 0   0     90     -0.0002746  0.0001301        141471061    7545123
  4      Fe_BCC   2 0 0   0      0      0.0012965  0.0005203        141471061    7545123
  4      Fe_BCC   2 0 0   0     15      0.0006750  0.0003894        141471061    7545123
  4      Fe_BCC   2 0 0   0     30      0.0000609  0.0002820        141471061    7545123
  4      Fe_BCC   2 0 0   0     45      0.0000124  0.0003122        141471061    7545123
  4      Fe_BCC   2 0 0   0     60      0.0000357  0.0003112        141471061    7545123
  4      Fe_BCC   2 0 0   0     75     -0.0006715  0.0002607        141471061    7545123
  4      Fe_BCC   2 0 0   0     90     -0.0001332  0.0001978        141471061    7545123
  4      Fe_BCC   2 1 1   0      0      0.0004365  0.0002050        141471061    7545123
  4      Fe_BCC   2 1 1   0     15      0.0004202  0.0001744        141471061    7545123
  4      Fe_BCC   2 1 1   0     30      0.0002858  0.0001392        141471061    7545123
  4      Fe_BCC   2 1 1   0     45      0.0000664  0.0001359        141471061    7545123
  4      Fe_BCC   2 1 1   0     60     -0.0000453  0.0001231        141471061    7545123
  4      Fe_BCC   2 1 1   0     75     -0.0002184  0.0001198        141471061    7545123
  4      Fe_BCC   2 1 1   0     90     -0.0001613  0.0001082        141471061    7545123
  4      Fe_BCC   2 2 0   0      0      0.0004841  0.0002818        141471061    7545123
  4      Fe_BCC   2 2 0   0     15      0.0004447  0.0003632        141471061    7545123
  4      Fe_BCC   2 2 0   0     30     -0.0002418  0.0004837        141471061    7545123
  4      Fe_BCC   2 2 0   0     45      0.0006143  0.0004511        141471061    7545123
  4      Fe_BCC   2 2 0   0     60      0.0000713  0.0003782        141471061    7545123
  4      Fe_BCC   2 2 0   0     75     -0.0006240  0.0003926        141471061    7545123
  4      Fe_BCC   2 2 0   0     90     -0.0005348  0.0004465        141471061    7545123
  4      Fe_BCC   2 2 2   0     30      0.0011410  0.0017992        141471061    7545123
  4      Fe_BCC   2 2 2   0     45      0.0000891  0.0012458        141471061    7545123
  4      Fe_BCC   2 2 2   0     60     -0.0009303  0.0019016        141471061    7545123
  4      Fe_BCC   2 2 2   0     75      0.0001552  0.0014819        141471061    7545123
  4      Fe_BCC   2 2 2   0     90      0.0024695  0.0009828        141471061    7545123
  4      Fe_BCC   3 1 0   0      0      0.0004795  0.0004619        141471061    7545123
  4      Fe_BCC   3 1 0   0     15      0.0003142  0.0004524        141471061    7545123
  4      Fe_BCC   3 1 0   0     30      0.0002115  0.0004058        141471061    7545123
  4      Fe_BCC   3 1 0   0     45      0.0001168  0.0003505        141471061    7545123
  4      Fe_BCC   3 1 0   0     60      0.0001243  0.0003653        141471061    7545123
  4      Fe_BCC   3 1 0   0     75     -0.0002251  0.0003125        141471061    7545123
  4      Fe_BCC   3 1 0   0     90     -0.0004733  0.0003224        141471061    7545123
  4      Fe_BCC   3 2 1   0      0      0.0018819  0.0008287        141471061    7545123
  4      Fe_BCC   3 2 1   0     15     -0.0001373  0.0006628        141471061    7545123
  4      Fe_BCC   3 2 1   0     30      0.0010043  0.0007129        141471061    7545123
  4      Fe_BCC   3 2 1   0     45     -0.0006205  0.0006688        141471061    7545123
  4      Fe_BCC   3 2 1   0     60     -0.0003289  0.0006200        141471061    7545123
  4      Fe_BCC   3 2 1   0     75     -0.0007158  0.0005813        141471061    7545123
  4      Fe_BCC   3 2 1   0     90      0.0004265  0.0005723        141471061    7545123
  8      Fe_BCC   1 1 0   0      0      0.0013319  0.0000927        282942121   15090246
  8      Fe_BCC   1 1 0   0     15      0.0011581  0.0001063        282942121   15090246
  8      Fe_BCC   1 1 0   0     30      0.0005658  0.0001351        282942121   15090246
  8      Fe_BCC   1 1 0   0     45      0.0004173  0.0001196        282942121   15090246
  8      Fe_BCC   1 1 0   0     60     -0.0004438  0.0000861        282942121   15090246
  8      Fe_BCC   1 1 0   0     75     -0.0002925  0.0001001        282942121   15090246
  8      Fe_BCC   1 1 0   0     90     -0.0006241  0.0001268        282942121   15090246
  8      Fe_BCC   2 0 0   0      0      0.0013230  0.0004576        282942121   15090246
  8      Fe_BCC   2 0 0   0     15      0.0009075  0.0003794        282942121   15090246
  8      Fe_BCC   2 0 0   0     30      0.0014597  0.0003484        282942121   15090246
  8      Fe_BCC   2 0 0   0     45      0.0009004  0.0003359        282942121   15090246
  8      Fe_BCC   2 0 0   0     60      0.0000256  0.0003327        282942121   15090246
  8      Fe_BCC   2 0 0   0     75     -0.0007802  0.0002667        282942121   15090246
  8      Fe_BCC   2 0 0   0     90     -0.0003282  0.0002023        282942121   15090246
  8      Fe_BCC   2 1 1   0      0      0.0010343  0.0002022        282942121   15090246
  8      Fe_BCC   2 1 1   0     15      0.0010004  0.0001766        282942121   15090246
  8      Fe_BCC   2 1 1   0     30      0.0008685  0.0001378        282942121   15090246
  8      Fe_BCC   2 1 1   0     45      0.0002688  0.0001354        282942121   15090246
  8      Fe_BCC   2 1 1   0     60     -0.0000426  0.0001251        282942121   15090246
  8      Fe_BCC   2 1 1   0     75     -0.0002525  0.0001227        282942121   15090246
  8      Fe_BCC   2 1 1   0     90     -0.0003760  0.0001083        282942121   15090246
  8      Fe_BCC   2 2 0   0      0      0.0010320  0.0002756        282942121   15090246
  8      Fe_BCC   2 2 0   0     15      0.0009987  0.0003602        282942121   15090246
  8      Fe_BCC   2 2 0   0     30      0.0001433  0.0005122        282942121   15090246
  8      Fe_BCC   2 2 0   0     45      0.0008223  0.0004636        282942121   15090246
  8      Fe_BCC   2 2 0   0     60     -0.0000759  0.0003645        282942121   15090246
  8      Fe_BCC   2 2 0   0     75     -0.0008015  0.0004030        282942121   15090246
  8      Fe_BCC   2 2 0   0     90     -0.0007973  0.0004267        282942121   15090246
  8      Fe_BCC   2 2 2   0     30     -0.0002411  0.0014888        282942121   15090246
  8      Fe_BCC   2 2 2   0     45      0.0018094  0.0015342        282942121   15090246
  8      Fe_BCC   2 2 2   0     60     -0.0023911  0.0013694        282942121   15090246
  8      Fe_BCC   2 2 2   0     75     -0.0010625  0.0014867        282942121   15090246
  8      Fe_BCC   2 2 2   0     90     -0.0019595  0.0014264        282942121   15090246
  8      Fe_BCC   3 1 0   0      0      0.0006627  0.0004417        282942121   15090246
  8      Fe_BCC   3 1 0   0     15      0.0007086  0.0004190        282942121   15090246
  8      Fe_BCC   3 1 0   0     30      0.0008664  0.0004134        282942121   15090246
  8      Fe_BCC   3 1 0   0     45      0.0003563  0.0003704        282942121   15090246
  8      Fe_BCC   3 1 0   0     60      0.0002595  0.0003735        282942121   15090246
  8      Fe_BCC   3 1 0   0     75     -0.0005636  0.0003243        282942121   15090246
  8      Fe_BCC   3 1 0   0     90     -0.0004808  0.0003276        282942121   15090246
  8      Fe_BCC   3 2 1   0      0      0.0022487  0.0008901        282942121   15090246
  8      Fe_BCC   3 2 1   0     15      0.0004586  0.0006495        282942121   15090246
  8      Fe_BCC   3 2 1   0     30      0.0011096  0.0006704        282942121   15090246
  8      Fe_BCC   3 2 1   0     45      0.0002668  0.0007029        282942121   15090246
  8      Fe_BCC   3 2 1   0     60     -0.0006488  0.0006357        282942121   15090246
  8      Fe_BCC   3 2 1   0     75     -0.0002709  0.0006471        282942121   15090246
  8      Fe_BCC   3 2 1   0     90     -0.0005802  0.0005582        282942121   15090246
